-12.000000	0	1	[1 1 1 0 1 0 0 1 1 0 0 1 0 0 0 0 0 1]
-12.000000	0	1	[1 0 1 1 0 1 0 0 1 1 1 0 0 0 1 0 0 1]
-12.000000	0	1	[0 0 0 0 1 0 0 0 1 1 0 1 1 0 1 1 1 0]
-12.000000	0	2	[1 1 1 0 1 0 0 0 1 0 0 1 0 1 0 1 0 0]
-12.000000	0	1	[0 0 1 1 0 0 0 1 1 0 0 1 1 0 0 0 1 0]
-12.000000	0	1	[1 0 0 1 0 1 0 0 1 0 0 1 1 1 1 1 0 1]
-12.000000	0	1	[0 0 1 1 1 0 0 1 0 1 1 1 1 0 0 1 0 0]
-12.000000	0	1	[0 1 0 0 0 1 0 1 1 0 1 1 0 0 0 1 0 0]
-12.000000	0	1	[1 0 0 1 0 0 0 1 1 0 0 0 1 1 1 1 1 0]
-12.000000	0	1	[0 0 0 1 1 0 0 1 1 1 0 1 0 1 1 1 0 0]
-12.000000	0	1	[1 0 0 1 1 0 0 0 1 1 1 0 0 1 1 1 0 0]
-12.000000	0	1	[1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0]
-12.000000	0	1	[1 0 0 0 0 1 0 0 1 0 1 0 0 1 1 1 1 1]
-12.000000	0	1	[0 1 0 0 0 1 0 1 1 0 1 0 0 0 1 1 0 0]
-12.000000	0	1	[1 0 1 0 1 1 0 1 1 1 0 0 1 0 0 0 0 1]
-12.000000	0	1	[1 0 0 1 1 1 0 1 1 0 0 0 1 1 0 1 0 0]
-12.000000	0	1	[0 1 0 1 1 1 0 0 1 1 1 0 0 0 0 1 0 0]
-12.000000	0	1	[1 0 0 0 1 0 0 0 0 0 0 1 1 0 1 1 0 1]
-12.000000	0	1	[0 0 0 1 0 1 0 1 1 0 1 0 1 1 1 1 0 0]
-12.000000	0	1	[1 0 0 0 1 0 0 1 1 0 0 1 1 1 0 0 0 0]
-12.000000	0	1	[0 0 0 1 1 0 0 0 1 0 0 1 1 1 0 1 1 1]
-12.000000	0	1	[0 1 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0]
-12.000000	0	1	[0 1 0 1 0 1 0 0 1 1 1 0 1 0 1 0 0 0]
-12.000000	0	1	[0 1 1 0 0 0 0 0 1 1 1 0 1 0 1 1 0 1]
-12.000000	0	1	[0 0 0 1 0 1 0 0 1 0 1 0 1 1 1 1 1 0]
-12.000000	0	1	[0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 1 1]
-12.000000	0	1	[1 0 0 0 0 0 0 0 1 1 0 1 1 0 0 1 0 1]
-12.000000	0	1	[0 1 0 0 0 1 0 1 1 0 1 0 1 1 0 0 1 0]
-12.000000	0	1	[0 1 1 1 1 0 0 0 1 1 0 0 0 1 1 0 0 1]
-12.000000	0	1	[0 1 1 0 0 0 0 1 1 0 0 1 0 0 1 0 1 1]
-12.000000	0	1	[1 1 0 1 0 0 0 0 1 0 1 0 1 0 0 1 0 1]
-12.000000	0	1	[0 1 0 1 1 0 0 0 1 0 0 0 1 0 1 1 0 0]
-12.000000	0	1	[0 0 1 1 0 0 0 0 1 0 1 0 1 0 0 1 0 1]
-12.000000	0	1	[0 0 1 0 0 0 0 0 1 0 1 0 0 1 1 1 1 0]
-12.000000	0	1	[0 1 1 1 0 0 0 0 1 0 0 1 1 0 0 1 0 0]
-12.000000	0	1	[0 1 1 1 0 0 0 0 1 0 1 0 1 0 0 1 0 1]
-12.000000	0	1	[1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 1]
-12.000000	0	1	[1 0 1 0 1 1 0 0 1 0 1 0 0 0 0 1 0 0]
-12.000000	0	1	[0 1 1 0 0 0 0 1 1 0 1 1 0 0 1 0 0 0]
-12.000000	0	1	[0 1 1 0 1 0 0 0 1 0 0 1 0 0 0 1 1 1]
-12.000000	0	1	[0 1 1 0 0 0 0 0 1 1 0 1 1 0 0 0 0 1]
-12.000000	0	1	[0 1 0 0 1 1 0 1 1 0 0 1 0 0 0 1 0 0]
-12.000000	0	1	[1 0 0 1 1 0 0 1 1 1 1 1 1 0 0 0 0 0]
-12.000000	0	1	[0 0 0 0 0 0 0 1 1 1 1 0 1 0 1 1 1 0]
-12.000000	0	1	[0 0 1 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0]
-12.000000	0	1	[0 0 0 0 1 0 0 1 0 0 0 1 1 0 1 1 0 0]
-12.000000	0	1	[0 0 0 1 1 0 1 1 1 1 0 0 1 1 0 1 1 0]
-12.000000	0	1	[0 0 1 0 1 1 0 1 1 1 0 1 0 0 0 1 1 0]
-12.000000	0	1	[0 1 1 0 0 1 0 1 1 1 0 1 0 1 0 1 1 0]
-12.000000	0	1	[0 1 1 0 0 0 0 1 0 1 1 0 1 1 1 1 0 1]
-12.000000	0	1	[0 0 1 1 0 0 0 1 0 1 0 0 1 0 1 0 1 0]
-12.000000	0	1	[1 0 0 0 1 0 0 1 1 0 1 0 0 1 1 0 0 1]
-12.000000	0	1	[0 0 1 0 0 0 0 1 0 1 0 1 1 0 1 1 1 1]
-12.000000	0	1	[1 0 0 1 0 1 0 1 1 1 0 1 0 1 1 0 0 1]
-12.000000	0	1	[0 0 1 0 0 0 0 1 1 1 1 0 0 1 1 1 0 1]
-12.000000	0	1	[0 1 1 0 0 1 0 1 0 1 1 1 1 0 1 1 0 0]
-12.000000	0	1	[0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1]
-12.000000	0	1	[0 0 1 0 0 1 0 1 1 1 0 1 0 0 1 1 1 0]
-12.000000	0	1	[0 0 0 1 1 0 0 1 1 1 1 1 0 0 1 0 0 1]
-12.000000	0	1	[0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0]
-12.000000	0	1	[0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0]
-12.000000	0	1	[0 1 1 1 0 0 0 1 0 0 1 0 1 0 0 1 0 0]
-12.000000	0	1	[0 0 1 1 1 1 0 1 1 0 0 1 0 0 0 1 1 0]
-12.000000	0	1	[0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0]
-12.000000	0	1	[0 0 0 0 0 0 0 1 1 0 1 1 0 0 1 0 0 1]
-12.000000	0	1	[0 1 1 1 0 0 0 1 1 0 0 0 0 1 0 1 0 0]
-12.000000	0	1	[1 0 1 1 0 0 0 1 0 0 0 0 1 0 0 1 0 1]
-12.000000	0	1	[0 0 0 1 1 1 0 0 0 1 1 1 1 0 1 0 0 1]
-12.000000	0	1	[0 1 1 1 0 0 0 1 1 0 1 0 0 1 1 0 0 0]
-12.000000	0	1	[0 0 0 1 1 0 0 1 0 1 1 0 1 1 0 0 0 0]
-12.000000	0	1	[1 1 1 0 0 1 0 1 0 0 0 0 0 0 0 1 1 0]
-12.000000	0	2	[1 0 0 1 1 0 0 1 1 0 0 0 0 0 1 1 0 1]
-12.000000	0	1	[0 1 1 0 0 0 0 1 1 1 1 1 0 1 1 0 0 0]
-12.000000	0	2	[0 0 0 1 1 0 0 1 1 0 1 0 0 0 1 1 0 1]
-12.000000	0	1	[0 1 0 0 1 0 0 0 1 0 1 1 0 0 1 0 0 1]
-12.000000	0	1	[1 0 1 0 0 0 1 1 1 0 0 0 0 1 0 1 0 0]
-12.000000	0	1	[0 1 0 1 0 1 0 0 1 0 1 0 0 0 1 1 1 0]
-12.000000	0	1	[0 0 1 1 1 1 0 0 1 0 1 0 0 1 0 1 1 0]
-12.000000	0	1	[1 0 1 0 0 1 0 0 1 1 1 0 0 0 1 1 0 0]
-12.000000	0	1	[1 1 0 1 1 0 1 0 1 1 1 0 1 0 0 1 0 0]
-12.000000	0	1	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 1 1 1 0]
-12.000000	0	1	[1 0 0 1 0 0 0 0 0 1 0 0 1 1 1 0 0 0]
-12.000000	0	1	[1 0 1 0 0 1 0 1 0 0 1 0 0 0 1 1 0 0]
-12.000000	0	1	[0 0 0 1 0 1 0 1 1 0 0 1 0 0 1 1 0 0]
-12.000000	0	1	[0 0 1 0 0 1 0 1 1 1 1 1 0 0 1 0 1 0]
-12.000000	0	1	[0 0 1 1 1 0 0 0 1 0 0 1 0 1 1 1 1 0]
-12.000000	0	1	[0 0 1 1 1 0 0 1 0 0 0 0 1 0 0 1 0 0]
-12.000000	0	1	[0 1 1 1 0 0 0 1 1 0 0 1 0 0 1 0 1 0]
-12.000000	0	1	[1 1 1 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0]
-12.000000	0	1	[1 0 1 1 1 0 0 0 1 0 0 1 0 0 0 1 0 1]
-12.000000	0	1	[0 1 1 0 0 1 0 1 0 0 1 1 0 0 1 0 0 0]
-12.000000	0	1	[1 0 1 0 0 0 0 1 1 1 0 1 0 1 0 0 0 0]
-12.000000	0	1	[0 0 0 1 1 0 1 0 1 1 1 1 1 0 1 1 0 1]
-12.000000	0	1	[0 1 1 0 1 1 0 1 0 1 1 0 1 1 0 1 0 0]
-12.000000	0	1	[1 1 0 0 0 0 0 0 1 0 0 1 0 1 1 0 0 0]
-12.000000	0	1	[0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1]
-12.000000	0	1	[0 1 0 1 1 1 0 0 1 1 0 1 0 1 1 0 1 0]
-12.000000	0	1	[1 0 0 1 1 1 0 0 1 0 0 1 0 0 1 1 0 1]
-12.000000	0	1	[0 1 0 0 1 0 0 1 1 0 1 0 0 0 1 0 0 0]
-12.000000	0	1	[0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0]
-12.000000	0	1	[0 0 0 1 0 0 1 0 1 1 1 0 1 0 1 1 0 0]
-12.000000	0	1	[0 0 1 0 0 0 0 1 1 1 0 1 0 1 1 0 1 1]
-12.000000	0	1	[0 1 1 0 1 1 0 1 0 0 1 0 0 1 1 0 0 0]
-12.000000	0	1	[1 0 1 1 0 1 0 0 1 0 1 1 0 1 0 1 0 0]
-12.000000	0	1	[0 0 0 0 0 0 1 0 1 0 0 0 1 0 1 0 0 1]
-12.000000	0	1	[0 1 0 1 1 0 0 0 1 0 1 0 0 0 1 1 0 0]
-12.000000	0	1	[1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 1 0]
-12.000000	0	1	[1 0 1 1 1 1 0 1 1 0 0 0 0 0 0 1 1 0]
-12.000000	0	1	[1 0 0 1 0 1 0 1 0 1 1 0 1 0 1 0 1 1]
-12.000000	0	1	[1 0 0 1 1 1 0 1 0 0 0 0 1 0 0 1 0 0]
-12.000000	0	1	[1 0 0 1 0 0 0 1 1 0 1 0 0 0 0 1 1 1]
-12.000000	0	1	[1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0]
-12.000000	0	3	[0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 1 1 1]
-12.000000	0	1	[0 1 1 1 1 1 1 0 1 1 1 0 0 0 0 1 0 0]
-12.000000	0	1	[0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0]
-12.000000	0	1	[0 1 1 0 0 0 0 0 0 1 1 1 1 0 0 0 0 1]
-12.000000	0	1	[1 0 0 0 1 0 0 0 1 1 0 0 0 1 0 1 1 0]
-12.000000	0	1	[0 1 1 1 1 0 1 0 0 1 0 0 1 1 0 1 0 0]
-12.000000	0	1	[0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 1 1 1]
-12.000000	0	1	[1 0 0 0 0 1 0 1 0 0 1 0 0 1 1 1 1 0]
-12.000000	0	1	[1 1 1 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0]
-12.000000	0	1	[0 0 1 0 1 0 0 1 0 1 1 0 1 1 1 1 1 0]
-12.000000	0	1	[1 0 1 1 1 0 0 1 1 0 0 0 0 1 0 0 0 1]
-12.000000	0	1	[1 0 0 1 0 0 0 1 0 0 1 0 1 0 0 1 1 1]
-12.000000	0	1	[1 0 0 1 1 0 0 1 0 0 0 1 1 0 1 1 0 0]
-12.000000	0	1	[1 0 0 1 0 0 1 0 1 1 0 0 1 0 1 1 0 1]
-12.000000	0	1	[0 1 1 0 0 0 1 1 0 0 1 0 1 0 0 1 0 0]
-12.000000	0	1	[1 1 1 0 0 1 0 0 0 1 1 0 1 0 1 1 0 0]
-12.000000	0	2	[0 0 1 0 0 0 1 1 1 1 0 0 1 0 0 1 1 0]
-12.000000	0	1	[1 0 0 1 0 0 0 1 0 1 1 1 1 0 1 0 0 0]
-12.000000	0	1	[1 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 1 1]
-12.000000	0	1	[1 1 0 0 0 1 0 1 1 0 0 1 0 0 1 0 0 0]
-12.000000	0	1	[0 1 1 0 1 0 1 0 1 1 1 0 1 0 0 1 1 0]
-12.000000	0	1	[1 0 0 0 1 0 0 0 0 1 1 1 1 0 1 1 0 1]
-12.000000	0	1	[1 0 0 0 0 1 0 0 0 0 0 1 1 1 1 0 0 1]
-12.000000	0	1	[0 0 1 0 0 0 1 0 1 1 0 1 1 0 1 1 0 1]
-12.000000	0	1	[0 1 1 0 0 1 0 0 0 1 1 0 1 1 1 1 0 1]
-12.000000	0	1	[0 0 0 1 0 1 0 1 1 1 0 0 0 1 1 0 0 0]
-12.000000	0	1	[0 0 0 1 0 0 1 0 1 1 0 1 1 1 1 1 1 0]
-12.000000	0	1	[1 0 0 1 0 0 0 1 0 1 1 0 1 1 1 0 0 0]
-12.000000	0	1	[0 0 1 0 0 1 0 1 0 0 1 1 0 0 0 1 1 0]
-12.000000	0	1	[1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1]
-12.000000	0	1	[0 0 0 1 0 1 0 0 1 0 0 0 1 1 1 0 1 0]
-12.000000	0	1	[1 1 1 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0]
-12.000000	0	1	[1 0 1 1 0 1 1 0 1 1 0 1 0 0 0 1 0 0]
-12.000000	0	1	[1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 1]
-12.000000	0	1	[0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 1 1 1]
-12.000000	0	1	[0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0]
-12.000000	0	1	[0 1 1 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0]
-12.000000	0	1	[1 0 0 1 0 1 0 1 0 0 1 0 1 0 1 1 0 0]
-12.000000	0	1	[1 1 0 1 1 1 0 1 1 0 1 0 0 0 0 1 0 0]
-12.000000	0	1	[1 1 1 1 0 1 0 1 1 0 0 1 0 0 0 0 0 0]
-12.000000	0	1	[0 0 1 0 0 0 0 1 0 1 1 1 1 0 1 1 1 0]
-12.000000	0	1	[0 1 1 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0]
-12.000000	0	1	[0 1 0 1 1 1 1 0 1 1 0 1 1 0 0 1 0 0]
-12.000000	0	1	[0 0 1 1 1 0 1 1 1 0 0 1 1 0 0 1 0 0]
-12.000000	0	1	[0 0 1 0 0 1 1 0 1 1 1 0 1 0 0 1 1 1]
-12.000000	0	1	[1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 1 1]
-12.000000	0	1	[1 1 1 1 0 1 0 0 1 0 0 1 0 1 1 0 0 0]
-12.000000	0	1	[0 0 0 0 1 0 0 1 0 0 0 0 1 1 1 0 0 1]
-12.000000	0	1	[1 0 0 0 0 1 0 0 1 1 0 1 0 0 0 1 1 0]
-12.000000	0	1	[0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1]
-12.000000	0	1	[0 0 0 1 0 1 0 0 1 0 1 0 1 1 1 0 0 0]
-12.000000	0	1	[1 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 1 1]
-12.000000	0	1	[0 1 0 1 0 0 1 0 1 1 0 0 1 0 0 0 0 1]
-12.000000	0	1	[0 0 1 1 0 1 0 0 1 0 0 1 0 0 1 0 1 0]
-12.000000	0	1	[1 0 0 1 1 1 0 0 0 0 0 1 1 0 0 1 1 0]
-12.000000	0	2	[1 0 1 1 0 0 0 1 0 1 0 1 0 0 1 0 0 0]
-12.000000	0	1	[0 0 0 1 1 0 1 1 1 1 0 1 0 0 0 1 1 0]
-12.000000	0	1	[0 1 1 1 0 1 0 0 1 0 1 0 0 0 0 0 1 0]
-12.000000	0	1	[1 0 0 1 1 0 1 1 1 1 0 0 0 1 0 1 0 0]
-12.000000	0	2	[1 0 1 1 0 0 0 1 0 1 1 0 0 1 1 0 0 0]
-12.000000	0	1	[0 0 0 1 1 0 0 1 1 0 0 1 0 0 0 0 1 1]
-12.000000	0	1	[0 0 0 1 1 0 0 1 1 0 1 1 0 0 0 0 0 1]
-12.000000	0	2	[0 1 1 1 0 1 0 0 1 0 1 0 0 0 1 0 0 0]
-12.000000	0	1	[1 0 0 1 0 1 0 0 0 0 1 1 1 0 0 1 1 0]
-12.000000	0	1	[0 0 0 1 0 0 0 1 0 1 1 0 0 0 0 1 0 0]
-12.000000	0	1	[1 0 1 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0]
-12.000000	0	1	[1 0 0 1 1 0 0 0 0 0 1 1 1 0 0 1 0 0]
-12.000000	0	1	[0 0 1 1 0 1 0 1 0 0 1 0 1 0 0 0 0 0]
-12.000000	0	1	[1 0 0 0 0 1 0 0 0 1 0 0 1 0 1 1 0 0]
-12.000000	0	1	[0 0 0 0 1 0 1 1 1 0 1 0 0 1 0 1 0 0]
-12.000000	0	1	[0 0 0 1 1 0 0 0 0 0 1 1 1 0 0 1 0 0]
-12.000000	0	1	[0 0 0 1 1 0 1 1 1 0 0 1 1 0 1 1 0 0]
-12.000000	0	1	[1 0 0 0 0 0 0 1 1 1 0 1 0 0 1 0 0 1]
-12.000000	0	1	[0 1 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 1]
-12.000000	0	1	[0 0 1 1 1 0 0 0 0 1 0 0 0 1 0 0 1 0]
-12.000000	0	1	[1 0 0 1 0 0 1 1 1 1 0 1 1 0 1 0 0 0]
-12.000000	0	1	[0 0 1 0 1 1 0 0 1 1 1 0 0 1 1 0 0 0]
-12.000000	0	1	[0 0 0 0 1 0 1 1 1 1 1 0 1 0 0 1 0 1]
-12.000000	0	1	[1 0 1 1 1 0 0 1 0 1 1 0 0 1 0 0 0 0]
-12.000000	0	1	[1 0 0 1 1 0 0 0 0 1 0 0 0 1 1 1 0 0]
-12.000000	0	1	[1 0 0 1 0 1 0 1 1 0 0 0 0 0 1 0 1 1]
-12.000000	0	1	[1 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0]
-12.000000	0	1	[0 1 1 1 1 0 0 1 0 0 0 0 0 1 1 0 1 0]
-12.000000	0	1	[1 1 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0]
-12.000000	0	1	[0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 1]
-12.000000	0	1	[0 0 1 1 1 1 1 0 1 0 0 0 0 1 0 1 1 0]
-12.000000	0	1	[0 0 0 0 0 1 1 1 0 0 1 0 1 0 0 1 1 0]
-12.000000	0	2	[1 0 1 1 0 1 1 0 1 0 0 0 0 1 1 1 1 0]
-12.000000	0	1	[0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0]
-12.000000	0	1	[0 0 0 1 0 1 1 0 1 1 1 0 0 0 1 1 0 1]
-12.000000	0	1	[1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0]
-12.000000	0	1	[0 0 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0]
-12.000000	0	1	[0 1 1 0 0 1 1 0 1 0 0 0 0 1 0 0 1 1]
-12.000000	0	2	[0 0 0 0 1 0 0 1 0 0 0 1 0 1 1 0 1 1]
-12.000000	0	1	[0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 1 0]
-12.000000	0	1	[1 0 1 1 0 0 1 0 1 0 0 0 0 1 0 1 0 1]
-12.000000	0	1	[0 1 0 0 1 1 0 0 0 1 1 0 1 0 0 0 1 0]
-12.000000	0	1	[0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 1 1]
-12.000000	0	1	[1 0 0 1 1 0 0 1 0 0 0 1 1 1 1 0 0 0]
-12.000000	0	1	[0 0 0 0 0 0 1 0 1 0 0 1 1 0 1 0 0 0]
-12.000000	0	1	[0 0 0 1 1 0 1 1 0 1 0 1 1 0 1 1 0 0]
-12.000000	0	1	[0 1 0 1 1 0 1 1 1 1 1 0 0 1 0 0 0 0]
-12.000000	0	1	[0 0 1 0 0 0 1 1 1 1 0 1 1 0 1 0 0 0]
-12.000000	0	1	[1 0 0 1 1 1 0 1 1 0 1 1 0 0 1 0 0 0]
-12.000000	0	2	[0 1 1 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0]
-12.000000	0	1	[0 0 0 1 0 1 0 1 0 0 0 0 1 0 1 0 0 0]
-12.000000	0	1	[0 1 1 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0]
-12.000000	0	1	[1 1 0 0 1 0 0 1 0 1 0 1 1 0 0 0 0 0]
-12.000000	0	1	[1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0]
-12.000000	0	1	[1 0 0 0 0 0 1 0 1 0 0 1 0 1 0 1 1 1]
-12.000000	0	1	[0 1 0 0 0 0 0 1 1 1 0 1 0 1 1 0 0 0]
-12.000000	0	1	[0 0 1 0 0 1 1 0 1 1 1 1 0 0 0 1 1 0]
-12.000000	0	1	[0 1 1 1 1 0 1 0 0 1 0 1 1 1 0 0 0 0]
-12.000000	0	1	[1 0 0 1 0 1 1 0 1 1 0 1 0 0 1 1 0 0]
-12.000000	0	1	[1 0 1 1 0 0 1 0 0 1 0 0 1 0 1 0 0 0]
-12.000000	0	1	[1 0 0 0 0 0 0 1 0 1 0 0 1 1 1 0 0 0]
-12.000000	0	1	[0 0 0 1 1 1 1 0 1 1 1 0 0 0 0 1 0 1]
-12.000000	0	1	[1 0 1 1 0 1 1 1 1 1 1 0 0 1 1 0 0 0]
-12.000000	0	1	[0 0 0 0 0 0 1 0 1 1 0 1 1 0 0 0 0 1]
-12.000000	0	1	[0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0]
-12.000000	0	1	[0 0 1 0 1 1 1 0 1 1 0 0 0 1 0 1 1 0]
-12.000000	0	1	[0 1 0 1 0 1 1 1 1 0 0 0 1 0 0 0 0 0]
-12.000000	0	1	[1 1 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0]
-12.000000	0	1	[0 0 0 1 1 0 1 0 1 1 1 0 0 1 1 0 1 1]
-12.000000	0	1	[1 0 0 1 0 0 0 1 1 0 1 1 0 0 1 0 0 0]
-12.000000	0	1	[1 1 1 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0]
-12.000000	0	1	[0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0]
-12.000000	0	1	[0 0 0 0 1 1 1 0 1 1 0 1 1 0 1 0 0 1]
-12.000000	0	1	[0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0]
-12.000000	0	1	[0 0 0 1 1 1 0 0 0 1 0 1 0 0 1 0 1 0]
-12.000000	0	1	[1 1 0 1 0 1 0 1 1 0 1 0 0 0 1 0 0 0]
-12.000000	0	1	[0 1 0 1 1 0 1 1 1 1 0 1 0 0 1 0 0 1]
-12.000000	0	1	[0 1 0 0 0 0 0 0 1 1 0 1 0 1 1 0 0 1]
-12.000000	0	1	[0 1 0 1 0 0 1 0 0 1 0 0 1 0 1 1 1 0]
-12.000000	0	1	[1 0 0 1 1 1 0 0 1 0 1 1 0 0 1 0 0 1]
-12.000000	0	1	[0 1 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 1]
-12.000000	0	1	[1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 1]
-12.000000	0	1	[0 1 1 0 1 1 0 0 0 1 1 1 0 1 1 0 0 1]
-12.000000	0	1	[0 0 0 1 0 0 0 1 0 1 0 1 0 0 1 0 0 0]
-12.000000	0	1	[1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 1]
-12.000000	0	1	[0 0 0 1 0 0 0 0 1 0 1 1 0 1 0 0 1 0]
-12.000000	0	1	[0 1 1 0 1 0 1 0 0 0 0 1 0 1 0 1 0 1]
-12.000000	0	1	[0 1 1 1 1 0 1 1 1 1 0 0 0 1 1 0 0 0]
-12.000000	0	1	[0 1 1 1 0 0 1 0 1 0 1 0 0 0 0 1 0 0]
-12.000000	0	1	[0 1 0 0 0 0 1 0 1 1 0 0 1 0 0 1 1 0]
-12.000000	0	1	[0 0 0 0 0 1 1 0 1 1 0 1 1 0 0 0 0 1]
-12.000000	0	1	[1 0 0 1 0 1 0 0 0 0 1 0 0 0 1 1 0 1]
-12.000000	0	1	[0 0 0 1 0 0 1 1 1 0 0 0 0 1 0 1 0 1]
-12.000000	0	1	[1 0 1 0 1 1 0 1 0 1 1 1 0 0 1 0 0 0]
-12.000000	0	1	[1 0 0 1 1 0 1 1 1 1 0 0 0 1 0 0 1 0]
-12.000000	0	1	[1 0 0 1 1 1 1 1 1 1 0 1 0 1 1 0 0 0]
-12.000000	0	1	[0 0 0 1 1 0 1 1 1 0 0 0 0 1 1 1 1 0]
-12.000000	0	1	[1 0 0 1 1 1 1 1 1 0 0 0 0 1 0 1 0 0]
-12.000000	0	1	[1 0 1 1 0 1 0 1 0 0 0 1 0 0 1 0 0 0]
-12.000000	0	1	[0 1 0 1 0 0 1 0 1 1 1 1 0 1 1 0 0 0]
-12.000000	0	1	[0 0 0 1 0 1 1 1 1 0 0 0 0 1 1 1 1 0]
-12.000000	0	1	[1 0 1 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0]
-12.000000	0	1	[0 0 0 1 0 0 1 1 1 0 1 0 0 1 1 1 1 0]
-12.000000	0	1	[1 0 0 1 0 1 1 1 1 1 0 0 0 1 0 0 1 0]
-12.000000	0	1	[1 0 1 1 1 0 0 1 0 0 0 1 0 0 1 0 0 0]
-12.000000	0	1	[0 1 0 1 1 0 0 1 0 0 1 0 0 1 1 0 0 1]
-12.000000	0	1	[0 0 0 1 1 0 1 1 1 0 0 1 0 1 1 1 0 1]
-12.000000	0	1	[1 0 0 1 1 1 0 0 0 0 1 0 0 1 0 1 0 0]
-12.000000	0	1	[0 0 0 1 0 1 1 1 1 0 0 1 0 0 0 1 0 0]
-12.000000	0	1	[0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 1 1 0]
-12.000000	0	1	[1 0 0 1 0 0 1 1 1 0 0 1 1 1 1 0 0 0]
-12.000000	0	1	[1 0 0 0 0 1 1 1 1 0 0 1 0 0 0 0 0 0]
-12.000000	0	1	[1 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 1 0]
-12.000000	0	1	[1 0 0 1 0 1 1 0 0 0 1 1 1 0 0 1 0 0]
-12.000000	0	1	[0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 1 1 1]
-12.000000	0	1	[0 1 0 0 0 0 0 1 0 1 1 0 0 1 0 0 1 0]
-12.000000	0	1	[0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0]
-12.000000	0	1	[1 0 0 0 0 1 1 0 1 1 0 1 1 0 0 0 0 0]
-12.000000	0	1	[1 1 0 1 0 0 1 0 1 0 1 0 0 0 0 1 0 0]
-12.000000	0	1	[0 0 0 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0]
-12.000000	0	2	[1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0]
-12.000000	0	1	[0 1 1 0 0 0 1 1 0 0 0 1 0 1 1 0 1 0]
-12.000000	0	1	[0 1 0 1 0 0 1 0 0 1 1 0 0 0 1 1 1 0]
-12.000000	0	1	[0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1]
